Title,Abstract Note,Manual Tags,LLM_Relevant,LLM_Response
"Understanding the relationship between child behaviour and parental well-being: The role of parental self-efficacy, social support and financial hardship as moderators","Introduction: Child behaviour problems are established predictors of parental well-being in families of children with intellectual disabilities (ID). Few studies have explored factors that may moderate the relationship between child behaviour and well-being in parents of young children with ID. Methods: Parents of young children (18 months to 5 years) with ID were recruited for a cluster-randomised feasibility study investigating a group-based parenting programme across three sites in the UK. Baseline data included measures of child behaviour and emotional problems, parental well-being, parenting efficacy, and social support. Results: Baseline data was collected for 74 primary caregivers across three sites. Two-level linear regression models will be used to explore the association between child behaviour problems and parental well-being, and the extent to which this will be moderated by other variables (e.g., parenting efficacy, social support, financial hardship). Final results will be presented at the Congress. Implications: Developing an understanding of potential moderators may provide support for the need for early intervention (e.g., social support, parenting efficacy), and inform future early intervention development and targeted provision for parents of young children with ID.",caregiver; child; child parent relation; conference abstract; controlled study; early intervention; feasibility study; female; human; infant; intellectual impairment; linear regression analysis; male; problem behavior; randomized controlled trial; self concept; social support; wellbeing,False,Out
Seeing strengths: Young adults and their siblings with autism or intellectual disability,"Background: Understanding the positive qualities of individuals with intellectual and developmental disabilities can provide a much‐needed counterpoint to deficit‐based depictions of disability. Method: This study examined how 163 young adults (ages 18–30) viewed the strengths of their brothers and sisters with intellectual disability or autism using the<i> Assessment Scale for Positive Character Traits‐Developmental Disabilities</i> (Woodard, 2009). In addition, the authors examined factors that may shape their perspectives. Results: Overall, siblings' ratings of strengths were moderate to high, indicating an overall portrait of strengths. The majority of brothers and sisters with disabilities was described as having multiple strengths and their profiles on this measure were highly individualized. Lower overall ratings were associated with several variables, including not using speech as a primary mode of communication, exhibiting challenging behaviours, having autism and not currently living together. Conclusions: The authors offer recommendations for future research and practice related to supporting siblings with and without disabilities. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",Adolescence (13-17 yrs); Adulthood (18 yrs & older); Autism Spectrum Disorders; Childhood (birth-12 yrs); Family Relations; Female; Infancy (2-23 mo); Intellectual Development Disorder; Male; Middle Age (40-64 yrs); Preschool Age (2-5 yrs); School Age (6-12 yrs); Siblings; Thirties (30-39 yrs); Young Adulthood (18-29 yrs),False,Out
Social pedagogy as a model to provide support for siblings of children with intellectual disabilities: A report of the views of the children and young people using a sibling support group,"The experiences of non-disabled children growing up with a sibling with an intellectual disability vary considerably, with reported impact ranging from increased mental health problems through evaluations of life enhancement. However, there is evidence that the net impact is neutral to positive, which was supported by the findings of this report of a service evaluation survey. The value of providing support to those young siblings is however clear. An established method of support is within a group of peers who also have a sibling with an intellectual disability, though no specific method for running this type of group has yet been fully explored. This article reports the views of 39 children taking part in such a group, analysing their perspective through a proposed model for the operation of sibling groups: social pedagogy. It was found that the closer the group's activities were to social pedagogy, the more supported the children and young people felt.",article; autism; child health care; health service; health survey; human; intellectual impairment; pedagogics; peer group; priority journal; problem behavior; professional practice; psychological adjustment; semi structured interview; sibling relation; social adaptation; social justice; social pedagogy; socialization; support group,False,Out
Suicidal ideation and intentional self-inflicted injury in autism spectrum disorder and intellectual disability: An examination of trends in youth emergency department visits in the United States from 2006 to 2014,"Substantial efforts have been dedicated to understanding, assessing, and managing suicide risk in youth broadly. However, little attention has been focused specifically on autistic youth and youth with intellectual disability. Because emergency departments are an essential point of suicide-related care, we used the National Emergency Department Sample databases to explore differences in prevalence of U.S. emergency department visits with a suicidal ideation or intentional self-inflicted injury ICD-9 diagnostic code by autistic youth, youth with intellectual disability, and youth without these diagnoses (i.e. the comparison group). Emergency department visits with a suicidal ideation or intentional self-inflicted injury diagnosis were more prevalent in autistic youth (5.1%) and youth with intellectual disability (6.6%) than in the comparison group (1.2%). Similar results were found when examining visits with a suicidal ideation diagnosis and with an intentional self-inflicted injury diagnosis separately. Prevalence of these emergency department visits increased more from 2006 to 2014 in autistic youth and in youth with intellectual disability than in the comparison group and were correlated with common and distinct sociodemographic and clinical factors across groups. Results suggest autistic youth and youth with intellectual disability may be uniquely vulnerable to suicide risk, highlighting the urgency of addressing suicidality and self-harm in these groups, particularly within emergency department settings. Lay abstract: Youth suicide is a major problem in the United States and globally, but little is known about suicide risk in autistic youth and youth with intellectual disability specifically. Using data from the National Emergency Department Sample, which is the largest database of emergency department visits in the United States, we found that emergency department visits with a suicidal ideation or intentional self-inflicted injury diagnosis were more common in autistic youth and youth with intellectual disability than in youth without these diagnoses (i.e. the comparison group). This was true when examining both suicidal ideation diagnoses and intentional self-inflicted injury diagnoses at emergency department visits. In addition, the number of emergency department visits with a suicidal ideation or intentional self-inflicted injury diagnosis increased more from 2006 to 2014 in autistic youth and youth with intellectual disability compared with the comparison group. We also found both similarities and differences when examining factors, such as age, sex, and co-occurring mental health conditions, related to emergency department visits with a suicidal ideation or intentional self-inflicted injury diagnosis across groups that may be helpful for understanding suicide risk. It is urgent that we improve our understanding, assessment, and treatment of suicidality and self-harm in these groups through more research and clinical efforts.",adolescent; adult; anxiety; article; autism; automutilation; child; demography; depression; developmental delay; ethnicity; hospitalization; human; intellectual impairment; major clinical study; medicare; mental disease; mental health; phobia; posttraumatic stress disorder; psychiatry; suicidal behavior; suicidal ideation; suicide,False,Out
Longitudinal impact of self-stigma content and process on parental warmth and hostility among parents of children with autism spectrum disorder,"This study examined whether self-stigma content and process would prospectively influence parental warmth and hostility through increasing parenting stress among parents of children with autism spectrum disorder (ASD). On three occasions across two years, 441 Hong Kong parents of children with ASD provided questionnaire data. Path analyses showed that self-stigma content and process were associated with greater parenting stress, which was, in turn, associated with reduced parental warmth and increased parental hostility. Our findings reveal the longitudinal influences of self-stigma on parenting practices and demonstrate how these influences can be explained by parenting stress. Our findings also suggest the importance of supporting parents of children with ASD to mitigate self-stigma and associated parenting stress in improving their parenting practices.",adult; article; autism; child; child parent relation; controlled study; female; Hong Kong; hostility; human; intellectual impairment; longitudinal study; major clinical study; male; parent; parental stress; parental warmth; path analysis; prospective study; self concept; stigma; verbal hostility,False,Out
Mediator or moderator? The role of mindfulness in the association between child behavior problems and parental stress,"Background Raising a child with intellectual disability (ID) may be stressful for parents. Previous studies have suggested the mediating role of mindfulness in the association between child behavior problems and parental stress. Aims The present study examined whether this mediating role is a result of parents’ self-report bias. It also explored whether mindfulness has a moderating role instead when child behavior problems are reported by teachers. Methods In a questionnaire survey, 271 Chinese parents of children with ID in 6 Hong Kong special schools reported their levels of stress and mindfulness, as well as their children's behavior problems. The latter was also reported by teachers. Results When child behavior problems were reported by parents, parental mindfulness was a mediator between child behavior problems and parental stress. In contrast, when child behavior problems were reported by teachers, parental mindfulness was a moderator between child behavior problems and parental stress. Conclusion The mediation role of mindfulness maybe an artifact of measurement. The findings provide an encouraging message that parenting a child with ID and behavior problems does not necessarily mean more stress among all parents. Parents with a high level of mindfulness may experience less stress than those with a low level of mindfulness. What this paper adds Parents of children with intellectual disability (ID) tend to report high psychological stress. Previous self-report studies have identified mindfulness as a mediator in the association between child behavior problems and parental stress. The present study differs from previous studies by including third-party's reports. It has contributed to the existing body of knowledge in two respects. First, it examined whether the mediation effect resulted from parent self-report bias. Second, it tested an alternative hypothesis of the moderation effect by using teachers’ reports to measure child behavior problems. The results showed that when child behavior problems were measured by parents’ reports, parental mindfulness was a mediator between child behavior problems and parental stress. The more the parents reported that their children had behavior problems, the less they reported being mindful, which in turn the more stressful they were. However, when child behavior problems were measured by teachers’ reports, parental mindfulness was a moderator instead, moderating the association between child behavior problems and parental stress. The association was ameliorated when parents reported high levels of mindfulness. These findings reveal another possible role of mindfulness and shed light on the support for parents of children with ID.",adolescent; adult; article; child; child behavior; child parent relation; female; human; intellectual impairment; major clinical study; male; mental stress; mindfulness; parental attitude; parental stress; problem behavior; risk factor,False,Out
Identifying and managing intellectual disability in prisons,"Background: In the UK, intellectual disability is not routinely screened for prison. The consequence is that this group of people may not be identified and not receive the support they require. This study aimed to examine mental health and offending characteristics of intellectual disability prisoners. Methods: The study used the LDSQ to screen 240 prisoners for Intellectual Disability and compared them to a group of prisoners without intellectual disability or significant traits of neurodevelopmental disorder. Results/Aims: Eighteen prisoners were identified with intellectual disability following screening. Prisoners with intellectual disability were significantly more likely to have comorbid mental illness and 25% had thought about suicide in the last month with 63% having attempted suicide in the past. Prisoners with intellectual disability were less likely to be from a black or minority ethnic background, be over 35 years old and have been single, no qualifications, homeless or unemployed before coming into prison and housed in the vulnerable prisoners' wing. Conclusions: There are significant numbers of people with an unrecognized intellectual disability in the prison system. Equity of service for prisoners with intellectual disability needs to be a priority given vulnerability to poor mental health, self-harm, and suicidality. From Science to Practice: This study has shown increased rates of mental health problems and thoughts of suicide and self-harm. This study has implications on how we identify and assess this group.",automutilation; conference abstract; controlled study; correctional facility; human; intellectual impairment; mental disease; prisoner; suicide attempt; unemployment; wing,False,Out
People with intellectual disabilities in prison and court settings in the UK,"Background: This symposium examines mental health and awareness of intellectual disability in the UK criminal justice system. This first presentation describes the introduction of a specialist neurodevelopmental team into an existing court mental health liaison and diversion service. Methods: This study examined referrals of defendants with neurodevelopmental disorders over 30 months at a London Magistrates' Court following the introduction of a court mental health ND service (CMH + ND). Baseline data relating to mental disorder from the pre-existing liaison and diversion service were collected and compared with data collected following the introduction of the CMH + ND using the existing minimum mental health service dataset. The pathway of the CMH + ND is also described. Results/Aims: Of 19 422 cases that entered the court during the 30-month study period, 829 (4.3%) were referred to the CMH + ND. Of these,79 (9.5%) had an identified ND. The CMH + ND detected higher rates of depression in defendants with ND compared to those in the CMH. Conclusions: It is possible to successfully integrate ND expertise into existing liaison and diversion services, using a multi-agency model, and this service enhancement demonstrated some modest evidence of service effectiveness, including an increase in the detection of comorbid mental illness and risk of self-harm/suicide, and a reduction in custodial remands. From Science to Practice: This study describes the findings from implementing a specialist NC liaison and diversion service.",attention deficit hyperactivity disorder; autism; automutilation; conference abstract; controlled study; correctional facility; court; depression; England; human; intellectual impairment; major clinical study; mental disease; mental health service; suicide,False,Out
Psychiatric diagnostic dilemmas among people with intellectual and developmental disabilities,"Background: Research regarding the accuracy of co-morbid psychiatric diagnoses in individuals with intellectual and developmental disabilities (IDD) is sparse. Yet correct diagnostic assignment is vital so that effective and appropriate treatment can be implemented, especially for the large numbers of individuals requiring expensive and restrictive behavioural health crisis services. Method: A retrospective review of de-identified data from multidisciplinary specialty team assessments completed for 50 individuals with ID (IntellectualDisability) with and without ASD and unresolved behavioural health challenges was conducted. The accuracy and reliability of the psychiatric diagnoses upon referral were compared with the diagnoses after the comprehensive team evaluation, and within-individual diagnostic agreement was calculated. The agreement between the Mood and Anxiety Semi-Structured interview tool (MASS) and the full team evaluation was also calculated. The influence of demographic and clinical characteristics on diagnostic agreement was explored. Results: The most common chief complaints upon referral were aggression to others and self-injurious behaviour. Individuals were taking a median of six medications (interquartile range: 5 to 7); 80% were taking an antipsychotic medication. The most common medical conditions were constipation (70%) and gastroesophageal reflux disease (52%). Measures of interrater reliability of the referral diagnoses with the team assessment were below 0.5 (kappa range: −0.04 to 0.39), with the exception of ruling out dementia (kappa = 0.85). The interrater reliability estimates for the MASS evaluations for depression and anxiety were higher (kappa = 0.69 and 0.64) and reflected higher sensitivity and PPV. The odds of any referral diagnosis being confirmed by team evaluation were low: 0.25 (range: 0 to 0.67). The level of diagnostic agreement for each patient was not significantly attributable to demographic or clinical characteristics, although effect sizes indicate a possible positive relationship to age and the number of prescribed psychotropic medications at referral. Conclusion: Individuals in the current study had serious psychiatric and behavioural problems despite psychiatric care in their communities. The majority of psychiatric diagnoses provided upon referral were not supported by the multidisciplinary specialty team's assessment. In addition to possible diagnostic inaccuracy, the group in the study suffered from multiple medical co-morbidities and were exposed to polypharmacy. Results emphasise the importance of multidisciplinary evaluation by clinicians with expertise in neurodevelopmental disabilities when people with ID with and without ASD have complex behavioural health needs that are unresponsive to usual care. In addition, based on agreement with the full team evaluation, the MASS shows promise as an assessment tool, especially with regards to identifying anxiety and depression.",adult; aggression; anxiety disorder; article; automutilation; clinical article; comorbidity; comparative study; constipation; controlled study; demographics; depression; developmental disorder; diagnostic accuracy; diagnostic test accuracy study; female; gastroesophageal reflux; health care need; health care personnel; human; intellectual impairment; lithium sulfate; male; medical care; mental health; mental health care; Mood and Anxiety Semi Structured interview; multidisciplinary team; neuroleptic agent; patient referral; polypharmacy; problem behavior; psychiatric diagnosis; retrospective study; scoring system; semi structured interview,False,Out
The Breastfeeding Experiences of Mother–Infant Dyads and the Effects of an FMR1 Mutation,"This study examined the early breastfeeding experiences of mothers with an FMR1 premutation (FXPM) and their infants with and without fragile X syndrome (FXS) to identify early feeding needs and potential opportunities for intervention. Data collection occurred through a retrospective national survey that captured data on breastfeeding experiences and co-occurring conditions of mother and child. Participants were 246 mothers with an FXPM. Of their 384 infants, 287 had FXS and 97 were unaffected (i.e., they did not have FXS or an FXPM). Unaffected infants had a longer breastfeeding duration relative to infants with FXS, and infants of mothers who had postpartum depression (PPD). Additionally, infants who were reported to display aggressiveness towards others later in childhood had a shorter breastfeeding duration than those who did not go on to display aggression. Approximately 42% percent of mothers reported difficulties with breastfeeding infants with FXS compared to only 17% of unaffected infants. The most common reason for breastfeeding cessation for mothers of children with FXS was perceived difficulties in breastfeeding for the child (37%), whereas the most common reason for mothers of unaffected infants was a personal choice to stop (37%). This study provides preliminary evidence that infants with FXS show early phenotypes that make breastfeeding more difficult. Future research should investigate whether interventions for infants with FXS could improve breastfeeding outcomes.",adult; aggression; aggressiveness; article; breast feeding; breast milk; child; clinical article; complication; controlled study; disability; female; fragile X syndrome; human; infant; intellectual impairment; lactation; male; mother; newborn; phenotype; postnatal depression; retrospective study; special situation for pharmacovigilance,False,Out
Investigating burnout and psychological well-being of staff working with people with intellectual disabilities and challenging behaviour: The role of personality,"Background: The present research extended previous research by broadening the dimensions of personality traits, and focusing on burnout and psychological well-being among staff working with people with intellectual disabilities and challenging behavior. Methods: This is a cross-sectional survey in which 103 staff completed questionnaires measuring clients challenging behavior according to staff perception, as well as staff burnout, psychological well-being and personality traits. Results: Regression analyses showed that staff perception of challenging behavior predicted burnout. Controlling for challenging behavior, three personality traits (neuroticism, extraversion and conscientiousness) predicted burnout and psychological well-being. Conclusions: Personality traits can affect the degree of burnout and poor psychological well-being that staff may experience. Staff should be informed about the role that their personality traits can play in their well-being. Training programmes for staff should incorporate the complex relationship between personality traits and well-being. Further studies should aim at identifying other personality traits that could increase or decrease resilience of staff working in this area. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",Adulthood (18 yrs & older); Female; Intellectual Development Disorder; Male; Mental Health Personnel; Occupational Stress; Personality Traits; Well Being,False,Out
Utility of modified DCR-10 criteria in the diagnosis of depression associated with intellectual disability,"A retrospective study of 11 inpatients with intellectual disability who received antidepressant treatment over a 12-month period indicated the utility of minor modifications to DCR-10 criteria in the diagnosis of depressive illness. The modifications were made by adding items found in previous research to be behavioural equivalents of depression in people with severe intellectual disability to DCR-10 criteria. The time course of symptom response to antidepressant treatment was documented. All 11 patients had a remission of depressive symptoms, as described by the modified criteria, within 5 weeks of starting antidepressant treatment.",acetylsalicylic acid; adult; aggression; antidepressant agent; article; behavior disorder; carbamazepine; chlorpromazine; citrate potassium; clinical article; clinical feature; depression; disease classification; drug efficacy; female; fluoxetine; flupentixol; gabapentin; gaviscon; haloperidol; human; intellectual impairment; lamotrigine; lofepramine; male; mental patient; multivitamin; oral drug administration; paroxetine; procyclidine; propranolol; remission; retrospective study; sulpiride; symptom; thioridazine; valproic acid; zuclopenthixol,False,Out
Professional carers’ experiences of caring for individuals with intellectual disability and dementia: A review of the literature,"The number of people with intellectual disability living into old age and developing dementia continues to increase. Dementia presents a wide range of challenges for staff due to progressive deterioration. This article presents the findings from a narrative literature review of professional caregivers’ experiences of caring for individuals with intellectual disability and dementia. Seven electronic databases were searched using Boolean operators and truncation to identify relevant literature. Search results were combined and narrowed to articles relevant to staff working with individuals with intellectual disability and dementia, and 14 articles met the criteria for review. Themes outlined in the review include staff knowledge of dementia, staff training in dementia, caregiving, challenging behaviour, pain management, mealtime support and coping strategies. Overall carers must review and adjust their care delivery and support to people with intellectual disability and dementia, not only in terms of identifying and responding to their health needs but also through collaborative team working within and across services. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",Caregivers; Caring Behaviors; Dementia; Intellectual Development Disorder,False,Out
A scoping review investigating the perspectives of people with mild to moderate intellectual disabilities on experiences of cyberbullying victimisation and its subtypes,"This scoping review examines cyberbullying victimisation in people with mild to moderate intellectual disabilities, focusing on specific types of cyberbullying behaviours, such as flaming, harassment, and stalking. A five-stage review of empirical research was conducted using 15 electronic databases, covering publications from October 1969 to January 2024. Twelve studies were selected, reporting cyberbullying victimisation rates ranging from 5% to 64%. Harassment was the most common behaviour experienced. However, flaming, cyber-stalking, griefing, and shaming have not been thoroughly investigated. The impact and coping strategies, including support mechanisms, also lack research. Further investigation is needed to understand the various types of cyberbullying experienced by people with intellectual disabilities and to develop coping and resilience strategies. Recommendations for future research and practice are provided.",Beck Depression Inventory; clinical practice; cyberbullying; cyberstalking; cybervictimization; depression; empirical research; harassment; high income country; human; intellectual impairment; meta analysis; quantitative self report questionnaire; questionnaire; review; social media; social support; systematic review,False,Out
Better at home or in residential care? Victimization of people with intellectual disabilities at the hands of caregivers,"Background: People with intellectual disabilities often need assistance of some kind in their everyday life. Support needs can increase the risk of their victimization at the hands of professional and family caregivers. This paper explores the differences in caregiver victimization between participants living in residential care settings and those who are not. Method: A sample of 260 adults (59.2 % men) with an intellectual disability diagnosis were assessed using an adaptation of the Juvenile Victimization Questionnaire comparing prevalence, sum and variety scores. Results: More than half of the sample (59.2 %) experienced some form of caregiver victimization throughout their lifetime, with physical abuse, verbal abuse, and neglect being the most frequently reported forms. Participants in residential care settings experienced significantly more caregiver victimization incidents and a broader range of victimization forms than their counterparts outside residential care. Significant differences were found based on the individuals' place of residence and gender. Details are provided on the last victimization incident, the perpetrator, the psychological and physical consequences of the victimization, and the reporting rates. Conclusions: This study outlines high rates of lifetime caregiver victimization, with those who live in residential care settings at particular risk. Further research is needed to gain a deeper understanding of the nuances of caregiver victimization and to prevent abuse in caregiving contexts.",adult; article; caregiver; female; health care personnel management; home care; human; intellectual impairment; major clinical study; male; mentally disabled person; neglect; offender; physical abuse; prevalence; prevention; residence characteristics; residential care; risk assessment; sex difference; sociodemographics; verbal hostility; victim; victimization; violence,False,Out
ASD Diagnosis and Treatment Experiences Among Mexican Heritage Families,"To understand the ASD diagnosis and treatment pathways for US families, N = 38 Mexican-heritage mothers were interviewed about how and when they obtained an ASD diagnosis for their children. Most children (84%) were diagnosed between two and three years old. One-third of mothers reported receiving four to seven referrals before diagnosis. Mothers identified multiple diagnosis circumstances including two diagnoses and services offered before diagnosis. A multiple case study design documented the diagnosis and treatment experiences of four representative participants. As compared to previous studies that utilized a deficit lens to rationalize barriers to diagnosis and treatment (e.g., parents not knowledgeable about ASD), these findings revealed a complex understanding of how structural barriers (e.g., immigration status), initial diagnosis rejection among caregivers, and abrupt service cancellation complicated the diagnosis and treatment process. Implications identified suggestions to optimize and streamline ASD diagnosis and treatment pathways for Mexican heritage families.",adult; aggression; article; attention deficit hyperactivity disorder; autism; behavior therapy; caregiver; child; clinical article; cultural factor; developmental delay; early diagnosis; early intervention; epilepsy; female; human; hydrocephalus; hyperactivity; immigrant; immigration; inheritance; intellectual impairment; language therapy; male; mental deficiency; Mexican; mother; neurofibromatosis; occupational therapy; patient care; patient referral; physiotherapy; preschool child; special education; speech delay; speech therapy,False,Out
Fathers of children with or without ID: Understanding long‐term psychological symptoms,"Background: Researchers have primarily relied on mother report to understand the parenting contexts of rearing children with intellectual disabilities. Fathers are increasingly being considered as equally important reporters of their child's behaviours, as they have unique and independent relationships with their children. The purpose of this study was to understand how one source of stress—reports of child behaviour problems—along with spousal support related to parenting tasks, associated with fathers' reports of psychological symptoms over time. Method: One hundred eighty‐two father participants completed measures of child behaviour problems, spousal support and psychological symptoms. Growth curve modelling was employed to examine paternal psychological symptoms over the child's developmental trajectory. Results: Fathers' reports of child behaviour problems predicted initial levels of paternal psychological symptoms but did not predict change in paternal psychological symptoms over time. Spousal support further reduced initial levels of paternal psychological symptoms. Conclusions: Child behaviour problems are more important than disability status in predicting father's psychological symptoms. Spousal support predicts paternal psychological symptoms and can be viewed as an additional resource for fathers. Implications for research and practice are discussed. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",Adulthood (18 yrs & older); Caregivers; Developmental Disabilities; Fathers; Female; Intellectual Development Disorder; Male; Symptoms,False,Out
A review of research about children of parents with intellectual disabilities,"Aim: This paper reports on the findings of a literature review about children of parents with intellectual disabilities. Method: A database and reference search was undertaken from March 2010 to March 2011 resulting in 26 studies about life experiences or child outcomes. Results: Two groups of studies were identified. The first investigated an association between parental intellectual disability and child outcomes for children from highly disadvantaged and chaotic families. Some studies suggest these children will be disadvantaged by their parent's low intellectual capacity while others suggest that, once other factors are taken into account, development approaches population norms. Court and child protection file studies demonstrate that these children are at high risk of removal from parental care. A second group of studies explored narrative, generally retrospective, accounts of childhood to understand life from a child's perspective. Studies report that social exclusion, bullying, and stigma are common experiences. Conclusions: Research has been preoccupied with children's developmental outcomes but little is known about their lived experience. Despite representing 85% of the literature, these studies have not reached a consensus about likely developmental, academic, or behavioural outcomes. Studies have generally included high risk samples, mothers rather than fathers, and children under five.",bullying; child; childhood; consensus; data base; disability; father; female; human; intellectual impairment; male; mother; narrative; parent; parental behavior; personal experience; population; protection; risk,False,Out
What the children say about their social world,"Aim: To report on a qualitative study underway in Australia to understand how children of parents with intellectual disabilities perceive their social world. Few studies have examined the life experiences of this group of children but one study found they can face stigma due to maternal intellectual disability and two studies reported that bullying and ostracism were common for school-aged children. Mothers with intellectual disabilities are at risk of social isolation which may affect their mental health and, indirectly, their parenting capacity but the effect it has on their children's social lives is unknown. The study is exploring the social context of children of parents with intellectual disabilities from their own perspective. Method: Over one year, seven primary school-aged children living with mothers with intellectual disabilities are taking part in at least two semi-structured interviews. Using photography and drawing, they are sharing their views and beliefs about their family, school, and community life. Content analysis will be used to understand major influences in children's social lives. Results and Conclusions: The presentation will report the results to date, playing particular attention to the role played by parents, friends, extended family, neighbours and service providers in shaping the social lives of children.",Australia; bullying; child; child parent relation; community; content analysis; disability; extended family; female; friend; human; intellectual impairment; mental health; mother; parent; personal experience; photography; primary school; qualitative research; risk; school; semi structured interview; social environment; social isolation; social life,False,Out
Peer support for mothers with intellectual disability facing adversity,"Introduction: Peer support can help vulnerable and isolated families engage with social services and navigate child protection systems. Parents with intellectual disability are highly disadvantaged and at risk of child removal but little is known about their experience of peer support. An inclusive study was undertaken to address the gap. Methods: Researchers interviewed twenty-six parents with intellectual disability. Inductive content analysis was used to identify themes. One theme revealed the influence of peer support to cope with life challenges. Ten participating mothers had experienced statutory child removal and/or domestic and family violence. Results: Mothers described feelings of loss, grief, anger, and betrayal. Fragile family networks and fear of child removal created mistrust of professionals. Peers were a trusted source of advice and support to cope with emotional pain. Participants who attended a support group described the importance of respect, equality and mutuality from peers. Implications: Peers are a valued and trusted source of support for mothers with intellectual disability. These highly vulnerable women often have limited informal support and view professionals with suspicion. Peer-based advocacy models for parents in the child protection system must take steps to become disability inclusive. Peers need training to support mothers facing significant grief and trauma.",anger; child; child protection; clinical article; conference abstract; content analysis; controlled study; family violence; fear; female; grief; human; injury; intellectual impairment; mother; pain; peer group; scientist; support group,False,Out
Stress in mothers of children with autism: Trait mindfulness as a protective factor,"Mindfulness-based interventions may reduce parents' stress and improve parent-child relationships. Given the chronic nature of autism spectrum disorder (ASD) and its influence on parents' stress, interventions to promote mindfulness may be especially helpful for parents of children with ASD. Prior to undertaking intervention development, it is first necessary to establish the relationship between mindfulness and stress, as other factors like child behavioral difficulties may overshadow the mother's regulation strategies. In a sample of mothers of children with ASD (n = 67) and a comparison sample of mothers without ASD (n = 87), mindfulness was significantly associated with the level of maternal stress above and beyond child behavior problems (non-ASD: β = -.232; F(1, 64) = 15.749, p <.000; ASD: β = -.206; F(1, 84) = 15.576, p <.000). Results suggest that interventions to promote mindfulness may be helpful in reducing parenting stress among mothers of children with ASD, as well as mothers of typically developing children. Due to the chronic nature of ASD, such interventions may be particularly applicable. © 2014 Elsevier Ltd. All rights reserved.","aberrant behavior checklist; adolescent; adult; anxiety; anxiety disorder; article; attention deficit hyperactivity disorder; autism; behavior disorder; child; child behavior; Child Behavior Checklist; comparative study; controlled study; depression; Depression, Anxiety and Stress Scale; Depression, Anxiety and Stress Scale-21; descriptive research; female; human; hyperactivity; intellectual impairment; irritability; learning disorder; major clinical study; male; marriage; maternal age; maternal stress; middle aged; Mindful Attention Awareness Scale; mindfulness; oppositional defiant disorder; parental stress; Perceived Stress Scale; preschool child; priority journal; psychosocial withdrawal; psychotherapy; rating scale; school child; stereotypy",False,Out
Overweight and obese status in children with autism spectrum disorder and disruptive behavior,"Overweight and obesity are common in pediatric populations. Children with autism spectrum disorder and disruptive behavior may be at higher risk. This study examined whether children with autism spectrum disorder and disruptive behavior are more likely to be overweight or obese than matched controls. Baseline data from medication-free children with autism spectrum disorder who participated in trials conducted by the Research Units on Pediatric Psychopharmacology Autism Network (N = 276) were compared to 544 control children from the National Health and Nutrition Examination Survey database matched on age, sex, race, parent education, and era of data collection. The mean age of the children with autism spectrum disorder was 7.9 ± 2.6 years; 84.4% were males. In the autism spectrum disorder group, the prevalence was 42.4% for overweight and 21.4% for obesity compared to 26.1% for overweight and 12.0% for obesity among controls (p < 0.001 for each contrast). Within the autism spectrum disorder sample, obesity was associated with minority status and lower daily living skills. These findings suggest that children with autism spectrum disorder and disruptive behavior are at increased risk for obesity and underscore the need for weight management interventions in this population.",adaptive behavior; adolescent; article; attention deficit hyperactivity disorder; autism; child; controlled study; disruptive behavior; ethnicity; feeding difficulty; female; human; intellectual impairment; intelligence quotient; major clinical study; male; obesity; priority journal; randomized controlled trial (topic); school child; weight height ratio; Yale Brown Obsessive Compulsive Scale,False,Out
Carers’ responses to challenging behaviour: A comparison of responses to named and unnamed vignettes,"Background: The evidence supporting the application of Weiner's motivational model of helping to the behaviour of carers' of people with intellectual disabilities and challenging behaviour is inconsistent. One suggested reason for this is that many studies use stimuli that might generate different responses from those to actual instances of behaviour of real people. Method: Sixty-two paid carers of people with intellectual disabilities reported attributions, emotions and intended behavioural responses to behaviour presented by an unnamed person and the same behaviour presented by a named and known person. They also completed a scale of behavioural knowledge. Results: Carers make more internal and global attributions and identify themselves as less optimistic in response to vignettes relating to named and known people than those relating to unnamed people. However, data from both unnamed and named vignettes are consistent in supporting Weiner's motivational model of helping in demonstrating a mediated model for controllability, anger and helping intention. Conclusions: Unnamed vignettes may underestimate the intensity of carers’ responses to challenging behaviour; however, this study does not provide evidence that there are qualitative differences in the interrelationships between variables in data sets obtained from unnamed and named vignettes. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",Adulthood (18 yrs & older); Attribution; Behavior Problems; Disabilities; Female; Intellectual Development Disorder; Male; Motivation,False,
